Name,Artifact Type,Category,Description,Tags,Classifications,Stewards,Related Terms,Part Of Terms
Actual trajectory,glossary_term,Industry Accelerators >> Retail Analytics with Weather,A geometric shape that is defined by a sequence of position points that describe the actual trajectory of the movement of a weather event.,,,,,Industry Accelerators >> Retail Analytics with Weather >> Weather event
Air temperature,glossary_term,Industry Accelerators >> Retail Analytics with Weather,"The temperature of the air, 1.5 meters (4.5 feet) above the ground that is shaded from the other elements. The temperature can be in Fahrenheit degrees or Celsius degrees.",,,,,Industry Accelerators >> Retail Analytics with Weather >> Weather Observation
,,,,,,,,Industry Accelerators >> Retail Analytics with Weather >> Weather forecast
Alert category,glossary_term,Industry Accelerators >> Retail Analytics with Weather,A short description of the category of the alert message.,,,,,Industry Accelerators >> Retail Analytics with Weather >> Weather alert
Alert description,glossary_term,Industry Accelerators >> Retail Analytics with Weather,"A narrative description of the weather alert. Generally, the narrative description is approximately 6,000 to 7,000 characters.",,,,,Industry Accelerators >> Retail Analytics with Weather >> Weather alert
Alert disclaimer,glossary_term,Industry Accelerators >> Retail Analytics with Weather,The alert disclaimer information that is provided by the government source of the alert.,,,,,Industry Accelerators >> Retail Analytics with Weather >> Weather alert
Alert headline,glossary_term,Industry Accelerators >> Retail Analytics with Weather,"The headline text of the weather alert, for example: Tornado Warning in effect until 8AM EDT WED.",,,,,Industry Accelerators >> Retail Analytics with Weather >> Weather alert
Alert identifier,glossary_term,Industry Accelerators >> Retail Analytics with Weather,The key that uniquely identifies the weather alert.,,,,,Industry Accelerators >> Retail Analytics with Weather >> Weather alert
Alert instruction,glossary_term,Industry Accelerators >> Retail Analytics with Weather,"The text that describes the recommended action by the consumer of the weather alert, for example: A LAKESHORE FLOOD ADVISORY INDICATES THAT ONSHORE WINDS WILL GENERATE FLOODING OF LOW AREAS ALONG THE LAKESHORE.",,,,,Industry Accelerators >> Retail Analytics with Weather >> Weather alert
Alert issue date time,glossary_term,Industry Accelerators >> Retail Analytics with Weather,The time when the weather alert was issued.,,,,,Industry Accelerators >> Retail Analytics with Weather >> Weather alert
Alert source,glossary_term,Industry Accelerators >> Retail Analytics with Weather,"The source of the weather alert, for example: National Weather Service.",,,,,Industry Accelerators >> Retail Analytics with Weather >> Weather alert
Alert type,glossary_term,Industry Accelerators >> Retail Analytics with Weather,The type of the weather alert.,,,,,Industry Accelerators >> Retail Analytics with Weather >> Weather alert
Almanac date,glossary_term,Industry Accelerators >> Retail Analytics with Weather,The date of the almanac record in MMDD format for daily almanac records and in MM format for monthly almanac records.,,,,,Industry Accelerators >> Retail Analytics with Weather >> Weather almanac
Almanac geographic location,glossary_term,Industry Accelerators >> Retail Analytics with Weather,The geographic location of the almanac record usually defined by latitude and longitude.,,,,Industry Accelerators >> Retail Analytics with Weather >> Location,Industry Accelerators >> Retail Analytics with Weather >> Weather almanac
Almanac period,glossary_term,Industry Accelerators >> Retail Analytics with Weather,The number of years for which the almanac records were compiled.,,,,,Industry Accelerators >> Retail Analytics with Weather >> Weather almanac
Almanac time interval,glossary_term,Industry Accelerators >> Retail Analytics with Weather,"The time interval for which the record was created, as a daily summary, a monthly summary, or an annual summary, a summary for the entire data set.",,,,,Industry Accelerators >> Retail Analytics with Weather >> Weather almanac
Average high temperature,glossary_term,Industry Accelerators >> Retail Analytics with Weather,The average high temperature for the period.,,,,,Industry Accelerators >> Retail Analytics with Weather >> Weather almanac
Average low temperature,glossary_term,Industry Accelerators >> Retail Analytics with Weather,The average low temperature for the period.,,,,,Industry Accelerators >> Retail Analytics with Weather >> Weather almanac
Average precipitation,glossary_term,Industry Accelerators >> Retail Analytics with Weather,The average precipitation amount for the period.,,,,,Industry Accelerators >> Retail Analytics with Weather >> Weather almanac
Average snow accumulation,glossary_term,Industry Accelerators >> Retail Analytics with Weather,The average snow accumulation for the period.,,,,,Industry Accelerators >> Retail Analytics with Weather >> Weather almanac
Average temperature,glossary_term,Industry Accelerators >> Retail Analytics with Weather,The average temperature for the period.,,,,,Industry Accelerators >> Retail Analytics with Weather >> Weather almanac
City,glossary_term,Industry Accelerators >> Retail Analytics with Weather,A geographic area that defines the boundaries of a community where people live. It is generally an incorporated or chartered area of a state or province.,,,,,
City Name,glossary_term,Industry Accelerators >> Retail Analytics with Weather,"Identifies the label assigned to or by which a city may be identified, for example: Chicago, Dublin, Sydney.",,,,,Industry Accelerators >> Retail Analytics with Weather >> Merchant
,,,,,,,,Industry Accelerators >> Retail Analytics with Weather >> City
Country,glossary_term,Industry Accelerators >> Retail Analytics with Weather,A geographic area that defines the boundaries of a nation.,,,,,
Country Code,glossary_term,Industry Accelerators >> Retail Analytics with Weather,"A code which identifies a country, for example: the country code for Ireland is 'IE'.",,,,,Industry Accelerators >> Retail Analytics with Weather >> Country
Country Name,glossary_term,Industry Accelerators >> Retail Analytics with Weather,"Identifies the label assigned to or by which a country may be identified, for example: Ireland, India.",,,,,Industry Accelerators >> Retail Analytics with Weather >> Country
,,,,,,,,Industry Accelerators >> Retail Analytics with Weather >> Merchant
Dew point temperature,glossary_term,Industry Accelerators >> Retail Analytics with Weather,The temperature that air must be cooled at constant pressure to reach saturation. The dew point is also an indirect measure of the humidity of the air. The dew point will never exceed the temperature.,,,,,Industry Accelerators >> Retail Analytics with Weather >> Weather Observation
Discount,glossary_term,Industry Accelerators >> Retail Analytics with Weather,A deduction made by the seller from the normal sales price of the product.,,,,,Industry Accelerators >> Retail Analytics with Weather >> Product
,,,,,,,,Industry Accelerators >> Retail Analytics with Weather >> Sales
Expected occurrence of weather event,glossary_term,Industry Accelerators >> Retail Analytics with Weather,The relationship between the weather event and the weather alert that defines the expected occurrence of weather event.,,,,Industry Accelerators >> Retail Analytics with Weather >> Weather event,Industry Accelerators >> Retail Analytics with Weather >> Weather alert
Feels like temperature,glossary_term,Industry Accelerators >> Retail Analytics with Weather,An apparent temperature that represents what the air temperature feels like on exposed human skin due to the combined effect of the wind chill or heat index.,,,,,Industry Accelerators >> Retail Analytics with Weather >> Weather Observation
Forecast date time,glossary_term,Industry Accelerators >> Retail Analytics with Weather,"The date and time for which is the forecast made, for example: 20130806T07:00:00",,,,,Industry Accelerators >> Retail Analytics with Weather >> Weather forecast
Forecasted trajectory,glossary_term,Industry Accelerators >> Retail Analytics with Weather,A geometric shape that is defined by a sequence of position points that describe the predicted trajectory of the movement of a weather event.,,,,,Industry Accelerators >> Retail Analytics with Weather >> Weather event
Forecast geographic location,glossary_term,Industry Accelerators >> Retail Analytics with Weather,The geographic location for which is the forecast made usually defined by latitude and longitude.,,,,Industry Accelerators >> Retail Analytics with Weather >> Location,Industry Accelerators >> Retail Analytics with Weather >> Weather forecast
Gross Profit,glossary_term,Industry Accelerators >> Retail Analytics with Weather,The profit made by selling the product after deducting the cost.,,,,,Industry Accelerators >> Retail Analytics with Weather >> Product
Location,glossary_term,Industry Accelerators >> Retail Analytics with Weather,"The place where someone or something has been, is or will be at a given time. The place can be defined with one or more position points (coordinates) or other geometric shapes in a coordinate system, for example: work location, service location.",,,,,Industry Accelerators >> Retail Analytics with Weather >> Weather Observation
Location Name,glossary_term,Industry Accelerators >> Retail Analytics with Weather,The name of the location.,,,,,Industry Accelerators >> Retail Analytics with Weather >> Location
